Feature,VIF
debt_extreme_flag,6.872672945012426
income_missing,5.74650306249116
DebtRatio_log,5.001942338210382
NumberOfOpenCreditLinesAndLoans_log,1.5389891261936923
NumberOfTimes90DaysLate_log,1.5032540796477276
NumberRealEstateLoansOrLines_log,1.4573849359096525
MonthlyIncome_log,1.422027756305732
NumberOfTimes90DaysLate_outlier_flag,1.4113942304359162
NumberOfTime60-89DaysPastDueNotWorse_log,1.3874813514504758
NumberOfTime60-89DaysPastDueNotWorse_outlier_flag,1.3838879354312932
NumberOfTime30-59DaysPastDueNotWorse_log,1.3037049944699055
RevolvingUtilizationOfUnsecuredLines_log,1.2848877791413993
NumberOfTime30-59DaysPastDueNotWorse_outlier_flag,1.276910314837851
age,1.1842858512492371
dependents_missing,1.1829759570836251
NumberOfDependents_log,1.1476664853870395
NumberOfOpenCreditLinesAndLoans_outlier_flag,1.0533203673101001
MonthlyIncome_outlier_flag,1.034620881659369
util_extreme_flag,1.0232884992576479
